MetricID,StudentID,ClassID,ReportingPeriod,AcademicYear,OverallGrade,OverallPercentage,AttendancePercentage,AssignmentCompletionRate,BehaviorRating,TeacherComments,ParentContact,InterventionNeeded,InterventionType
109,9,1,Q1,2025,D,62.05,58.43,50.13,4,Needs support,1,1,Tutoring
110,9,1,Q2,2025,D,62.05,58.43,51.52,4,Average performance,1,1,
111,9,8,Q1,2025,D,64.76,58.43,64.57,1,Needs support,1,1,Study Group
112,9,8,Q2,2025,D,64.76,58.43,67.65,2,Needs support,1,1,Counseling
113,9,6,Q1,2025,D,62.35,58.43,65.25,3,Average performance,1,1,Tutoring
114,9,6,Q2,2025,D,62.35,58.43,64.44,4,Excellent work,1,1,Counseling
115,10,1,Q1,2025,F,32.72,84.06,89.66,2,Needs support,1,1,Tutoring
116,10,1,Q2,2025,F,32.72,84.06,77.83,5,Good progress,1,1,Study Group
117,10,11,Q1,2025,F,31.32,84.06,84.79,3,Average performance,1,1,Counseling
118,10,11,Q2,2025,F,31.32,84.06,84.12,3,Excellent work,1,1,Tutoring
119,10,5,Q1,2025,F,30.53,84.06,78.51,2,Average performance,1,1,Study Group
120,10,5,Q2,2025,F,30.53,84.06,90.1,3,Needs support,1,1,
121,10,8,Q1,2025,F,32.87,84.06,79.14,2,Excellent work,1,1,Tutoring
122,10,8,Q2,2025,F,32.87,84.06,93.52,5,Average performance,1,1,Counseling
123,10,12,Q1,2025,F,31.68,84.06,89.4,2,Needs support,1,1,Tutoring
124,10,12,Q2,2025,F,31.68,84.06,89.21,2,Excellent work,1,1,Counseling
125,10,9,Q1,2025,F,27.84,84.06,77.51,1,Good progress,1,1,
126,10,9,Q2,2025,F,27.84,84.06,82.83,1,Good progress,1,1,Counseling
127,10,6,Q1,2025,F,32.32,84.06,78.48,1,Excellent work,1,1,Study Group
128,10,6,Q2,2025,F,32.32,84.06,86.82,3,Excellent work,1,1,Counseling
129,10,7,Q1,2025,F,30.61,84.06,92.92,1,Excellent work,1,1,Study Group
130,10,7,Q2,2025,F,30.61,84.06,93.22,3,Needs support,1,1,Counseling
131,11,1,Q1,2025,D,67.15,100.0,93.58,1,Average performance,1,1,Tutoring
132,11,1,Q2,2025,D,67.15,100.0,100.0,1,Needs support,1,1,
133,11,5,Q1,2025,C,72.21,100.0,100.0,4,Needs support,0,0,
134,11,5,Q2,2025,C,72.21,100.0,99.4,3,Needs support,0,0,
135,11,12,Q1,2025,D,68.44,100.0,100.0,4,Excellent work,1,1,Study Group
136,11,12,Q2,2025,D,68.44,100.0,100.0,1,Needs support,1,1,Study Group
137,11,4,Q1,2025,C,70.35,100.0,94.73,5,Excellent work,0,0,
138,11,4,Q2,2025,C,70.35,100.0,96.96,2,Good progress,0,0,
139,11,15,Q1,2025,D,69.43,100.0,94.13,5,Good progress,1,1,Counseling
140,11,15,Q2,2025,D,69.43,100.0,100.0,3,Good progress,1,1,Counseling
141,12,9,Q1,2025,C,78.69,96.91,89.06,1,Needs support,0,0,
142,12,9,Q2,2025,C,78.69,96.91,91.94,4,Needs support,0,0,
143,12,7,Q1,2025,C,75.76,96.91,99.69,5,Good progress,0,0,
144,12,7,Q2,2025,C,75.76,96.91,98.86,1,Average performance,0,0,
145,12,2,Q1,2025,C,77.63,96.91,91.19,1,Excellent work,0,0,
146,12,2,Q2,2025,C,77.63,96.91,97.22,3,Good progress,0,0,
147,12,1,Q1,2025,C,78.09,96.91,87.69,4,Average performance,0,0,
148,12,1,Q2,2025,C,78.09,96.91,100.0,1,Good progress,1,0,
149,12,4,Q1,2025,B,83.84,96.91,100.0,1,Good progress,0,0,
150,12,4,Q2,2025,B,83.84,96.91,100.0,2,Excellent work,1,0,
151,12,12,Q1,2025,C,79.33,96.91,89.94,3,Good progress,0,0,
152,12,12,Q2,2025,C,79.33,96.91,100.0,5,Average performance,0,0,
153,12,14,Q1,2025,C,78.96,96.91,100.0,4,Good progress,1,0,
154,12,14,Q2,2025,C,78.96,96.91,100.0,5,Good progress,0,0,
155,12,10,Q1,2025,C,78.97,96.91,99.37,3,Good progress,0,0,
156,12,10,Q2,2025,C,78.97,96.91,91.33,3,Excellent work,0,0,
157,13,6,Q1,2025,C,71.93,95.92,100.0,3,Average performance,0,0,
158,13,6,Q2,2025,C,71.93,95.92,99.93,5,Average performance,0,0,
159,13,12,Q1,2025,D,67.67,95.92,90.18,2,Good progress,1,1,Study Group
160,13,12,Q2,2025,D,67.67,95.92,93.7,4,Excellent work,1,1,Counseling
161,13,9,Q1,2025,C,70.2,95.92,100.0,3,Needs support,1,0,
162,13,9,Q2,2025,C,70.2,95.92,93.57,5,Excellent work,1,0,
163,13,8,Q1,2025,C,70.55,95.92,100.0,2,Excellent work,1,0,
164,13,8,Q2,2025,C,70.55,95.92,91.97,4,Average performance,0,0,
165,13,5,Q1,2025,C,72.77,95.92,86.69,5,Excellent work,0,0,
166,13,5,Q2,2025,C,72.77,95.92,100.0,4,Excellent work,1,0,
167,13,10,Q1,2025,C,70.61,95.92,95.56,1,Good progress,0,0,
168,13,10,Q2,2025,C,70.61,95.92,100.0,1,Average performance,0,0,
169,13,2,Q1,2025,D,65.82,95.92,95.86,3,Good progress,1,1,Study Group
170,13,2,Q2,2025,D,65.82,95.92,98.04,5,Average performance,1,1,Study Group
171,14,1,Q1,2025,C,77.68,90.04,91.55,1,Needs support,0,0,
172,14,1,Q2,2025,C,77.68,90.04,93.83,1,Excellent work,0,0,
173,14,8,Q1,2025,B,80.05,90.04,85.71,3,Good progress,0,0,
174,14,8,Q2,2025,B,80.05,90.04,80.56,1,Needs support,0,0,
175,14,2,Q1,2025,C,79.69,90.04,90.02,4,Good progress,1,0,
176,14,2,Q2,2025,C,79.69,90.04,83.47,4,Excellent work,0,0,
177,14,5,Q1,2025,C,79.46,90.04,94.36,1,Excellent work,1,0,
178,14,5,Q2,2025,C,79.46,90.04,89.1,5,Average performance,0,0,
179,14,13,Q1,2025,C,78.65,90.04,93.2,2,Needs support,0,0,
180,14,13,Q2,2025,C,78.65,90.04,98.68,2,Needs support,0,0,
181,14,11,Q1,2025,C,79.54,90.04,96.12,1,Good progress,0,0,
182,14,11,Q2,2025,C,79.54,90.04,94.35,1,Average performance,1,0,
183,15,3,Q1,2025,A,92.11,97.4,100.0,5,Average performance,0,0,
184,15,3,Q2,2025,A,92.11,97.4,100.0,3,Needs support,1,0,
185,15,1,Q1,2025,A,95.3,97.4,93.27,4,Needs support,1,0,
186,15,1,Q2,2025,A,95.3,97.4,97.53,2,Good progress,0,0,
187,15,13,Q1,2025,A,94.38,97.4,100.0,4,Needs support,1,0,
188,15,13,Q2,2025,A,94.38,97.4,100.0,2,Average performance,0,0,
189,15,7,Q1,2025,A,92.99,97.4,93.51,1,Excellent work,0,0,
190,15,7,Q2,2025,A,92.99,97.4,87.92,5,Average performance,0,0,
191,15,5,Q1,2025,A,93.32,97.4,95.18,4,Needs support,0,0,
192,15,5,Q2,2025,A,93.32,97.4,89.24,3,Needs support,1,0,
193,15,11,Q1,2025,A,91.67,97.4,93.33,5,Excellent work,1,0,
194,15,11,Q2,2025,A,91.67,97.4,100.0,2,Needs support,1,0,
195,15,6,Q1,2025,A,94.47,97.4,93.54,5,Average performance,0,0,
196,15,6,Q2,2025,A,94.47,97.4,94.28,2,Excellent work,1,0,
197,16,1,Q1,2025,B,87.5,95.8,96.55,3,Needs support,0,0,
198,16,1,Q2,2025,B,87.5,95.8,91.17,5,Needs support,0,0,
199,16,12,Q1,2025,A,90.37,95.8,96.4,4,Good progress,0,0,
200,16,12,Q2,2025,A,90.37,95.8,97.45,5,Needs support,1,0,
201,16,15,Q1,2025,A,90.55,95.8,100.0,1,Excellent work,0,0,
202,16,15,Q2,2025,A,90.55,95.8,95.47,5,Excellent work,1,0,
203,16,8,Q1,2025,A,91.09,95.8,95.07,2,Needs support,1,0,
204,16,8,Q2,2025,A,91.09,95.8,100.0,1,Needs support,0,0,
205,16,3,Q1,2025,B,89.87,95.8,100.0,3,Excellent work,0,0,
206,16,3,Q2,2025,B,89.87,95.8,91.7,2,Good progress,1,0,
207,16,7,Q1,2025,B,88.66,95.8,94.96,3,Needs support,0,0,
208,16,7,Q2,2025,B,88.66,95.8,95.14,1,Good progress,0,0,
209,16,13,Q1,2025,B,89.2,95.8,100.0,5,Average performance,1,0,
210,16,13,Q2,2025,B,89.2,95.8,90.0,2,Average performance,0,0,
211,16,6,Q1,2025,B,88.78,95.8,89.21,1,Excellent work,1,0,
212,16,6,Q2,2025,B,88.78,95.8,86.8,5,Needs support,1,0,
213,17,12,Q1,2025,A,98.93,94.53,98.19,1,Average performance,0,0,
214,17,12,Q2,2025,A,98.93,94.53,89.01,4,Good progress,0,0,
215,17,1,Q1,2025,A,99.11,94.53,96.53,5,Needs support,1,0,
216,17,1,Q2,2025,A,99.11,94.53,97.37,4,Needs support,0,0,
217,17,2,Q1,2025,A,99.46,94.53,85.96,4,Average performance,1,0,
218,17,2,Q2,2025,A,99.46,94.53,89.96,1,Needs support,0,0,
219,17,10,Q1,2025,A,99.33,94.53,98.73,4,Average performance,1,0,
220,17,10,Q2,2025,A,99.33,94.53,94.87,2,Excellent work,0,0,
221,17,13,Q1,2025,A,98.83,94.53,89.76,2,Average performance,1,0,
222,17,13,Q2,2025,A,98.83,94.53,96.23,2,Average performance,1,0,
223,17,4,Q1,2025,A,99.29,94.53,86.49,2,Excellent work,0,0,
224,17,4,Q2,2025,A,99.29,94.53,90.05,4,Needs support,1,0,
225,18,15,Q1,2025,F,54.77,72.22,74.55,4,Average performance,1,1,Study Group
226,18,15,Q2,2025,F,54.77,72.22,63.98,3,Excellent work,1,1,Study Group
227,18,4,Q1,2025,F,55.45,72.22,74.13,5,Average performance,1,1,Tutoring
228,18,4,Q2,2025,F,55.45,72.22,63.12,1,Good progress,1,1,
229,18,8,Q1,2025,F,50.79,72.22,78.65,2,Average performance,1,1,Tutoring
230,18,8,Q2,2025,F,50.79,72.22,71.38,4,Good progress,1,1,Study Group
231,18,9,Q1,2025,F,50.48,72.22,80.44,4,Average performance,1,1,Counseling
232,18,9,Q2,2025,F,50.48,72.22,73.12,2,Average performance,1,1,
233,18,10,Q1,2025,F,49.73,72.22,71.17,5,Average performance,1,1,Counseling
234,18,10,Q2,2025,F,49.73,72.22,71.75,5,Good progress,1,1,Counseling
235,19,5,Q1,2025,A,94.35,95.14,94.23,2,Excellent work,0,0,
236,19,5,Q2,2025,A,94.35,95.14,99.84,1,Average performance,0,0,
237,19,13,Q1,2025,A,94.45,95.14,94.67,2,Excellent work,0,0,
238,19,13,Q2,2025,A,94.45,95.14,98.87,4,Needs support,0,0,
239,19,1,Q1,2025,A,94.82,95.14,89.57,1,Excellent work,0,0,
240,19,1,Q2,2025,A,94.82,95.14,100.0,5,Needs support,0,0,
241,19,11,Q1,2025,A,94.91,95.14,93.98,1,Excellent work,0,0,
242,19,11,Q2,2025,A,94.91,95.14,87.72,3,Good progress,1,0,
243,19,3,Q1,2025,A,96.75,95.14,95.44,5,Needs support,1,0,
244,19,3,Q2,2025,A,96.75,95.14,91.52,2,Average performance,0,0,
245,19,8,Q1,2025,A,95.82,95.14,97.37,1,Average performance,0,0,
246,19,8,Q2,2025,A,95.82,95.14,91.07,1,Good progress,0,0,
247,20,7,Q1,2025,F,48.86,91.62,97.18,5,Excellent work,1,1,
248,20,7,Q2,2025,F,48.86,91.62,94.87,3,Excellent work,1,1,Counseling
249,20,14,Q1,2025,F,49.67,91.62,86.37,5,Excellent work,1,1,Counseling
250,20,14,Q2,2025,F,49.67,91.62,95.41,4,Excellent work,1,1,Counseling
251,20,2,Q1,2025,F,48.09,91.62,94.75,5,Needs support,1,1,
252,20,2,Q2,2025,F,48.09,91.62,81.83,1,Good progress,1,1,
253,20,3,Q1,2025,F,52.17,91.62,92.23,4,Excellent work,1,1,Counseling
254,20,3,Q2,2025,F,52.17,91.62,92.09,2,Average performance,1,1,Study Group
255,20,9,Q1,2025,F,50.27,91.62,82.81,3,Excellent work,1,1,Tutoring
256,20,9,Q2,2025,F,50.27,91.62,90.17,4,Excellent work,1,1,Counseling
257,20,12,Q1,2025,F,50.24,91.62,92.83,1,Needs support,1,1,Counseling
258,20,12,Q2,2025,F,50.24,91.62,88.75,1,Needs support,1,1,Tutoring
259,20,10,Q1,2025,F,50.28,91.62,100.0,5,Average performance,1,1,Tutoring
260,20,10,Q2,2025,F,50.28,91.62,84.85,2,Average performance,1,1,Tutoring
261,20,1,Q1,2025,F,47.85,91.62,98.03,4,Excellent work,1,1,
262,20,1,Q2,2025,F,47.85,91.62,94.15,4,Good progress,1,1,Study Group
263,21,12,Q1,2025,F,51.55,85.87,82.31,3,Needs support,1,1,Tutoring
264,21,12,Q2,2025,F,51.55,85.87,89.57,2,Average performance,1,1,Counseling
265,21,9,Q1,2025,F,54.53,85.87,75.87,1,Excellent work,1,1,
266,21,9,Q2,2025,F,54.53,85.87,91.55,5,Needs support,1,1,
267,21,10,Q1,2025,F,53.44,85.87,84.75,1,Excellent work,1,1,Study Group
268,21,10,Q2,2025,F,53.44,85.87,76.08,2,Average performance,1,1,Study Group
269,21,7,Q1,2025,F,53.91,85.87,87.63,3,Needs support,1,1,Tutoring
270,21,7,Q2,2025,F,53.91,85.87,93.14,4,Average performance,1,1,Study Group
271,21,15,Q1,2025,F,50.44,85.87,79.47,1,Average performance,1,1,
272,21,15,Q2,2025,F,50.44,85.87,94.05,3,Average performance,1,1,
273,21,5,Q1,2025,F,50.96,85.87,90.06,2,Good progress,1,1,Study Group
274,21,5,Q2,2025,F,50.96,85.87,85.32,3,Average performance,1,1,Tutoring
275,22,9,Q1,2025,D,66.13,78.55,72.05,4,Needs support,1,1,Tutoring
276,22,9,Q2,2025,D,66.13,78.55,70.21,5,Needs support,1,1,Counseling
277,22,1,Q1,2025,D,63.92,78.55,74.12,5,Needs support,1,1,Counseling
278,22,1,Q2,2025,D,63.92,78.55,72.9,1,Average performance,1,1,Tutoring
279,22,15,Q1,2025,D,64.14,78.55,82.67,2,Good progress,1,1,Counseling
280,22,15,Q2,2025,D,64.14,78.55,69.87,1,Good progress,1,1,Tutoring
281,22,14,Q1,2025,D,63.81,78.55,81.04,4,Good progress,1,1,
282,22,14,Q2,2025,D,63.81,78.55,71.05,1,Excellent work,1,1,
283,22,7,Q1,2025,D,64.47,78.55,73.26,2,Needs support,1,1,Study Group
284,22,7,Q2,2025,D,64.47,78.55,81.81,5,Excellent work,1,1,Tutoring
285,23,2,Q1,2025,D,64.7,80.27,84.67,5,Average performance,1,1,Tutoring
286,23,2,Q2,2025,D,64.7,80.27,87.54,5,Good progress,1,1,
287,23,8,Q1,2025,D,64.22,80.27,85.97,2,Needs support,1,1,Counseling
288,23,8,Q2,2025,D,64.22,80.27,89.56,1,Excellent work,1,1,Study Group
289,23,14,Q1,2025,D,67.16,80.27,71.32,3,Excellent work,1,1,Tutoring
290,23,14,Q2,2025,D,67.16,80.27,70.4,4,Needs support,1,1,Study Group
291,23,3,Q1,2025,D,68.31,80.27,74.72,2,Average performance,1,1,Counseling
292,23,3,Q2,2025,D,68.31,80.27,84.2,4,Good progress,1,1,Study Group
293,23,7,Q1,2025,D,66.7,80.27,83.95,1,Average performance,1,1,Counseling
294,23,7,Q2,2025,D,66.7,80.27,86.25,3,Needs support,1,1,Tutoring
295,23,9,Q1,2025,D,63.85,80.27,70.71,5,Good progress,1,1,Study Group
296,23,9,Q2,2025,D,63.85,80.27,72.88,4,Excellent work,1,1,Counseling
297,24,6,Q1,2025,C,75.43,96.73,99.79,4,Average performance,1,0,
298,24,6,Q2,2025,C,75.43,96.73,100.0,4,Good progress,0,0,
299,24,13,Q1,2025,C,75.41,96.73,99.0,5,Needs support,1,0,
300,24,13,Q2,2025,C,75.41,96.73,96.48,5,Needs support,1,0,
301,24,12,Q1,2025,C,73.56,96.73,91.11,4,Good progress,0,0,
302,24,12,Q2,2025,C,73.56,96.73,100.0,5,Good progress,0,0,
303,24,1,Q1,2025,C,75.52,96.73,92.45,5,Good progress,1,0,
304,24,1,Q2,2025,C,75.52,96.73,96.23,4,Needs support,0,0,
305,24,4,Q1,2025,C,72.89,96.73,100.0,5,Needs support,0,0,
306,24,4,Q2,2025,C,72.89,96.73,97.57,1,Needs support,0,0,
307,26,14,Q1,2025,C,78.64,89.93,94.68,1,Excellent work,0,0,
308,26,14,Q2,2025,C,78.64,89.93,94.5,5,Good progress,1,0,
309,26,10,Q1,2025,C,74.75,89.93,80.36,1,Needs support,0,0,
310,26,10,Q2,2025,C,74.75,89.93,98.78,4,Excellent work,1,0,
311,26,7,Q1,2025,C,76.4,89.93,88.24,1,Excellent work,0,0,
312,26,7,Q2,2025,C,76.4,89.93,84.95,4,Excellent work,1,0,
313,26,12,Q1,2025,C,78.06,89.93,87.79,2,Good progress,0,0,
314,26,12,Q2,2025,C,78.06,89.93,95.42,5,Needs support,0,0,
315,26,11,Q1,2025,C,79.5,89.93,93.03,3,Average performance,1,0,
316,26,11,Q2,2025,C,79.5,89.93,95.96,3,Needs support,0,0,
317,26,15,Q1,2025,C,75.66,89.93,99.43,2,Average performance,0,0,
318,26,15,Q2,2025,C,75.66,89.93,87.31,3,Excellent work,1,0,
319,26,3,Q1,2025,C,76.68,89.93,96.52,5,Good progress,0,0,
320,26,3,Q2,2025,C,76.68,89.93,96.66,1,Good progress,0,0,
321,27,11,Q1,2025,D,68.67,94.97,100.0,4,Good progress,1,1,Counseling
322,27,11,Q2,2025,D,68.67,94.97,100.0,5,Average performance,1,1,Study Group
323,27,5,Q1,2025,D,66.2,94.97,99.57,1,Needs support,1,1,Counseling
324,27,5,Q2,2025,D,66.2,94.97,92.31,1,Excellent work,1,1,Counseling
325,27,9,Q1,2025,D,68.29,94.97,92.48,3,Good progress,1,1,Counseling
326,27,9,Q2,2025,D,68.29,94.97,85.59,2,Excellent work,1,1,
327,27,7,Q1,2025,D,64.99,94.97,89.0,1,Average performance,1,1,
328,27,7,Q2,2025,D,64.99,94.97,88.88,1,Excellent work,1,1,
329,27,13,Q1,2025,C,70.56,94.97,100.0,2,Needs support,0,0,
330,27,13,Q2,2025,C,70.56,94.97,97.49,2,Needs support,0,0,
331,27,12,Q1,2025,D,68.88,94.97,100.0,4,Good progress,1,1,Counseling
332,27,12,Q2,2025,D,68.88,94.97,92.99,2,Needs support,1,1,
333,27,6,Q1,2025,D,67.19,94.97,86.06,5,Excellent work,1,1,
334,27,6,Q2,2025,D,67.19,94.97,100.0,4,Needs support,1,1,Counseling
335,28,15,Q1,2025,F,5.24,63.8,58.97,2,Average performance,1,1,Tutoring
336,28,15,Q2,2025,F,5.24,63.8,66.78,1,Good progress,1,1,Study Group
337,28,4,Q1,2025,F,9.78,63.8,59.8,4,Good progress,1,1,Counseling
