EnrollmentID,StudentID,ClassID,EnrollmentDate,WithdrawalDate,IsActive,EnrollmentStatus
54,9,15,2024-02-19,,1,Active
55,9,1,2024-02-19,,1,Active
56,9,8,2024-02-19,,1,Active
57,9,6,2024-02-19,,1,Active
58,10,1,2022-10-13,,1,Active
59,10,11,2022-10-13,,1,Active
60,10,5,2022-10-13,,1,Active
61,10,8,2022-10-13,,1,Active
62,10,12,2022-10-13,,1,Active
63,10,9,2022-10-13,,1,Active
64,10,6,2022-10-13,,1,Active
65,10,7,2022-10-13,,1,Active
66,11,1,2023-12-18,,1,Active
67,11,5,2023-12-18,,1,Active
68,11,12,2023-12-18,,1,Active
69,11,4,2023-12-18,,1,Active
70,11,15,2023-12-18,,1,Active
71,12,9,2024-01-04,,1,Active
72,12,7,2024-01-04,,1,Active
73,12,2,2024-01-04,,1,Active
74,12,1,2024-01-04,,1,Active
75,12,4,2024-01-04,,1,Active
76,12,12,2024-01-04,,1,Active
77,12,14,2024-01-04,,1,Active
78,12,10,2024-01-04,,1,Active
79,13,6,2023-10-10,,1,Active
80,13,12,2023-10-10,,1,Active
81,13,9,2023-10-10,,1,Active
82,13,8,2023-10-10,,1,Active
83,13,5,2023-10-10,,1,Active
84,13,10,2023-10-10,,1,Active
85,13,2,2023-10-10,,1,Active
86,14,1,2022-12-13,,1,Active
87,14,8,2022-12-13,,1,Active
88,14,2,2022-12-13,,1,Active
89,14,5,2022-12-13,,1,Active
90,14,13,2022-12-13,,1,Active
91,14,11,2022-12-13,,1,Active
92,15,3,2022-10-30,,1,Active
93,15,1,2022-10-30,,1,Active
94,15,13,2022-10-30,,1,Active
95,15,7,2022-10-30,,1,Active
96,15,5,2022-10-30,,1,Active
97,15,11,2022-10-30,,1,Active
98,15,6,2022-10-30,,1,Active
99,16,1,2022-11-21,,1,Active
100,16,12,2022-11-21,,1,Active
101,16,15,2022-11-21,,1,Active
102,16,8,2022-11-21,,1,Active
103,16,3,2022-11-21,,1,Active
104,16,7,2022-11-21,,1,Active
105,16,13,2022-11-21,,1,Active
106,16,6,2022-11-21,,1,Active
107,17,12,2023-03-29,,1,Active
108,17,1,2023-03-29,,1,Active
109,17,2,2023-03-29,,1,Active
110,17,10,2023-03-29,,1,Active
111,17,13,2023-03-29,,1,Active
112,17,4,2023-03-29,,1,Active
113,18,15,2023-11-02,,1,Active
114,18,4,2023-11-02,,1,Active
115,18,8,2023-11-02,,1,Active
116,18,9,2023-11-02,,1,Active
117,18,10,2023-11-02,,1,Active
118,19,5,2022-10-14,,1,Active
119,19,13,2022-10-14,,1,Active
120,19,1,2022-10-14,,1,Active
121,19,11,2022-10-14,,1,Active
122,19,3,2022-10-14,,1,Active
123,19,8,2022-10-14,,1,Active
124,20,7,2023-02-08,,1,Active
125,20,14,2023-02-08,,1,Active
126,20,2,2023-02-08,,1,Active
127,20,3,2023-02-08,,1,Active
128,20,9,2023-02-08,,1,Active
129,20,12,2023-02-08,,1,Active
130,20,10,2023-02-08,,1,Active
131,20,1,2023-02-08,,1,Active
132,21,12,2023-04-10,,1,Active
133,21,9,2023-04-10,,1,Active
134,21,10,2023-04-10,,1,Active
135,21,7,2023-04-10,,1,Active
136,21,15,2023-04-10,,1,Active
137,21,5,2023-04-10,,1,Active
138,22,9,2022-08-18,,1,Active
139,22,1,2022-08-18,,1,Active
140,22,15,2022-08-18,,1,Active
141,22,14,2022-08-18,,1,Active
142,22,7,2022-08-18,,1,Active
143,23,2,2024-05-04,,1,Active
144,23,8,2024-05-04,,1,Active
145,23,14,2024-05-04,,1,Active
146,23,3,2024-05-04,,1,Active
147,23,7,2024-05-04,,1,Active
148,23,9,2024-05-04,,1,Active
149,24,6,2023-12-05,,1,Active
150,24,13,2023-12-05,,1,Active
151,24,12,2023-12-05,,1,Active
152,24,1,2023-12-05,,1,Active
153,24,4,2023-12-05,,1,Active
154,26,14,2024-02-28,,1,Active
155,26,10,2024-02-28,,1,Active
156,26,7,2024-02-28,,1,Active
157,26,12,2024-02-28,,1,Active
158,26,11,2024-02-28,,1,Active
159,26,15,2024-02-28,,1,Active
160,26,3,2024-02-28,,1,Active
161,27,11,2022-09-21,,1,Active
162,27,5,2022-09-21,,1,Active
163,27,9,2022-09-21,,1,Active
164,27,7,2022-09-21,,1,Active
165,27,13,2022-09-21,,1,Active
166,27,12,2022-09-21,,1,Active
167,27,6,2022-09-21,,1,Active
168,28,15,2022-11-24,,1,Active
169,28,4,2022-11-24,,1,Active
170,28,1,2022-11-24,,1,Active
171,28,11,2022-11-24,,1,Active
172,28,6,2022-11-24,,1,Active
173,28,7,2022-11-24,,1,Active
174,28,3,2022-11-24,,1,Active
175,29,10,2024-03-04,,1,Active
176,29,9,2024-03-04,,1,Active
177,29,13,2024-03-04,,1,Active
178,29,11,2024-03-04,,1,Active
179,29,3,2024-03-04,,1,Active
180,29,8,2024-03-04,,1,Active
181,29,4,2024-03-04,,1,Active
182,29,6,2024-03-04,,1,Active
183,30,8,2023-01-07,,1,Active
184,30,3,2023-01-07,,1,Active
185,30,13,2023-01-07,,1,Active
186,30,7,2023-01-07,,1,Active
187,30,5,2023-01-07,,1,Active
188,30,15,2023-01-07,,1,Active
189,31,1,2024-04-22,,1,Active
190,31,5,2024-04-22,,1,Active
191,31,10,2024-04-22,,1,Active
192,31,15,2024-04-22,,1,Active
193,31,12,2024-04-22,,1,Active
194,31,2,2024-04-22,,1,Active
195,32,13,2024-02-18,,1,Active
196,32,4,2024-02-18,,1,Active
197,32,12,2024-02-18,,1,Active
198,32,7,2024-02-18,,1,Active
199,32,1,2024-02-18,,1,Active
200,32,5,2024-02-18,,1,Active
201,32,3,2024-02-18,,1,Active
202,33,6,2023-03-07,,1,Active
203,33,11,2023-03-07,,1,Active
204,33,2,2023-03-07,,1,Active
205,33,14,2023-03-07,,1,Active
206,33,15,2023-03-07,,1,Active
207,33,8,2023-03-07,,1,Active
208,34,4,2024-03-24,,1,Active
209,34,15,2024-03-24,,1,Active
210,34,2,2024-03-24,,1,Active
211,34,5,2024-03-24,,1,Active
212,34,9,2024-03-24,,1,Active
213,34,8,2024-03-24,,1,Active
214,34,10,2024-03-24,,1,Active
215,34,12,2024-03-24,,1,Active
216,35,9,2022-11-16,,1,Active
217,35,7,2022-11-16,,1,Active
218,35,6,2022-11-16,,1,Active
219,35,15,2022-11-16,,1,Active
220,35,11,2022-11-16,,1,Active
221,35,2,2022-11-16,,1,Active
222,36,10,2023-11-17,,1,Active
223,36,9,2023-11-17,,1,Active
224,36,13,2023-11-17,,1,Active
225,36,4,2023-11-17,,1,Active
226,36,14,2023-11-17,,1,Active
227,36,2,2023-11-17,,1,Active
228,37,7,2023-11-24,,1,Active
229,37,9,2023-11-24,,1,Active
230,37,10,2023-11-24,,1,Active
231,37,4,2023-11-24,,1,Active
232,37,15,2023-11-24,,1,Active
233,37,5,2023-11-24,,1,Active
234,37,2,2023-11-24,,1,Active
235,38,9,2024-03-04,,1,Active
236,38,12,2024-03-04,,1,Active
237,38,7,2024-03-04,,1,Active
238,38,2,2024-03-04,,1,Active
239,38,15,2024-03-04,,1,Active
240,38,14,2024-03-04,,1,Active
241,38,13,2024-03-04,,1,Active
242,39,13,2022-07-22,,1,Active
243,39,11,2022-07-22,,1,Active
244,39,14,2022-07-22,,1,Active
245,39,7,2022-07-22,,1,Active
246,39,4,2022-07-22,,1,Active
247,39,12,2022-07-22,,1,Active
248,40,4,2023-05-30,,1,Active
249,40,12,2023-05-30,,1,Active
250,40,3,2023-05-30,,1,Active
251,40,8,2023-05-30,,1,Active
252,40,1,2023-05-30,,1,Active
253,41,15,2022-09-22,,1,Active
254,41,11,2022-09-22,,1,Active
255,41,9,2022-09-22,,1,Active
256,41,10,2022-09-22,,1,Active
257,41,3,2022-09-22,,1,Active
258,42,6,2023-07-22,,1,Active
259,42,8,2023-07-22,,1,Active
260,42,10,2023-07-22,,1,Active
261,42,9,2023-07-22,,1,Active
262,42,4,2023-07-22,,1,Active
263,42,15,2023-07-22,,1,Active
264,42,12,2023-07-22,,1,Active
265,43,3,2023-03-25,,1,Active
266,43,8,2023-03-25,,1,Active
267,43,11,2023-03-25,,1,Active
268,43,2,2023-03-25,,1,Active
269,43,9,2023-03-25,,1,Active
270,43,4,2023-03-25,,1,Active
271,43,15,2023-03-25,,1,Active
272,44,9,2023-02-23,,1,Active
273,44,6,2023-02-23,,1,Active
274,44,7,2023-02-23,,1,Active
275,44,5,2023-02-23,,1,Active
276,44,4,2023-02-23,,1,Active
277,44,15,2023-02-23,,1,Active
278,44,1,2023-02-23,,1,Active
279,44,2,2023-02-23,,1,Active
280,45,8,2023-04-16,,1,Active
281,45,7,2023-04-16,,1,Active
282,45,3,2023-04-16,,1,Active
283,45,9,2023-04-16,,1,Active
284,45,12,2023-04-16,,1,Active
285,45,11,2023-04-16,,1,Active
286,46,5,2023-06-01,,1,Active
287,46,9,2023-06-01,,1,Active
288,46,12,2023-06-01,,1,Active
289,46,13,2023-06-01,,1,Active
290,46,14,2023-06-01,,1,Active
291,46,7,2023-06-01,,1,Active
292,46,4,2023-06-01,,1,Active
293,47,3,2024-02-01,,1,Active
294,47,10,2024-02-01,,1,Active
295,47,15,2024-02-01,,1,Active
296,47,14,2024-02-01,,1,Active
297,47,7,2024-02-01,,1,Active
298,48,7,2024-03-31,,1,Active
299,48,5,2024-03-31,,1,Active
300,48,2,2024-03-31,,1,Active
301,48,9,2024-03-31,,1,Active
302,48,8,2024-03-31,,1,Active
303,48,14,2024-03-31,,1,Active
304,48,12,2024-03-31,,1,Active
305,49,6,2023-02-11,,1,Active
306,49,10,2023-02-11,,1,Active
307,49,15,2023-02-11,,1,Active
308,49,13,2023-02-11,,1,Active
309,49,5,2023-02-11,,1,Active
310,49,9,2023-02-11,,1,Active
311,49,12,2023-02-11,,1,Active
312,50,9,2022-11-03,,1,Active
313,50,8,2022-11-03,,1,Active
314,50,10,2022-11-03,,1,Active
315,50,5,2022-11-03,,1,Active
316,50,6,2022-11-03,,1,Active
317,50,11,2022-11-03,,1,Active
318,50,4,2022-11-03,,1,Active
319,50,2,2022-11-03,,1,Active
320,51,4,2024-01-04,,1,Active
321,51,10,2024-01-04,,1,Active
322,51,3,2024-01-04,,1,Active
323,51,1,2024-01-04,,1,Active
324,51,8,2024-01-04,,1,Active
325,52,12,2023-07-03,,1,Active
326,52,3,2023-07-03,,1,Active
327,52,1,2023-07-03,,1,Active
328,52,4,2023-07-03,,1,Active
329,52,10,2023-07-03,,1,Active
330,52,6,2023-07-03,,1,Active
331,52,14,2023-07-03,,1,Active
332,52,7,2023-07-03,,1,Active
333,53,9,2023-10-01,,1,Active
334,53,10,2023-10-01,,1,Active
335,53,13,2023-10-01,,1,Active
336,53,7,2023-10-01,,1,Active
337,53,6,2023-10-01,,1,Active
338,54,11,2023-10-10,,1,Active
339,54,15,2023-10-10,,1,Active
340,54,8,2023-10-10,,1,Active
341,54,5,2023-10-10,,1,Active
342,54,13,2023-10-10,,1,Active
343,55,3,2022-09-24,,1,Active
344,55,15,2022-09-24,,1,Active
345,55,13,2022-09-24,,1,Active
346,55,9,2022-09-24,,1,Active
347,55,5,2022-09-24,,1,Active
348,55,12,2022-09-24,,1,Active
349,55,7,2022-09-24,,1,Active
350,56,5,2023-02-07,,1,Active
351,56,7,2023-02-07,,1,Active
352,56,2,2023-02-07,,1,Active
353,56,8,2023-02-07,,1,Active
354,56,15,2023-02-07,,1,Active
355,56,11,2023-02-07,,1,Active
356,56,4,2023-02-07,,1,Active
357,56,14,2023-02-07,,1,Active
358,57,4,2023-10-31,,1,Active
359,57,15,2023-10-31,,1,Active
360,57,8,2023-10-31,,1,Active
361,57,2,2023-10-31,,1,Active
362,57,5,2023-10-31,,1,Active
363,57,12,2023-10-31,,1,Active
364,58,11,2024-04-10,,1,Active
365,58,9,2024-04-10,,1,Active
366,58,6,2024-04-10,,1,Active
367,58,4,2024-04-10,,1,Active
368,58,7,2024-04-10,,1,Active
369,58,5,2024-04-10,,1,Active
370,59,3,2023-01-01,,1,Active
371,59,6,2023-01-01,,1,Active
372,59,14,2023-01-01,,1,Active
373,59,11,2023-01-01,,1,Active
374,59,12,2023-01-01,,1,Active
375,59,1,2023-01-01,,1,Active
376,59,4,2023-01-01,,1,Active
377,60,14,2024-04-17,,1,Active
378,60,6,2024-04-17,,1,Active
379,60,4,2024-04-17,,1,Active
380,60,15,2024-04-17,,1,Active
381,60,7,2024-04-17,,1,Active
382,60,12,2024-04-17,,1,Active
383,60,5,2024-04-17,,1,Active
384,60,8,2024-04-17,,1,Active
385,61,14,2024-03-16,,1,Active
386,61,11,2024-03-16,,1,Active
387,61,5,2024-03-16,,1,Active
388,61,4,2024-03-16,,1,Active
389,61,12,2024-03-16,,1,Active
390,61,13,2024-03-16,,1,Active
391,61,10,2024-03-16,,1,Active
392,62,13,2023-08-04,,1,Active
393,62,4,2023-08-04,,1,Active
394,62,11,2023-08-04,,1,Active
395,62,6,2023-08-04,,1,Active
396,62,5,2023-08-04,,1,Active
397,62,10,2023-08-04,,1,Active
398,63,5,2023-10-25,,1,Active
399,63,11,2023-10-25,,1,Active
400,63,13,2023-10-25,,1,Active
401,63,2,2023-10-25,,1,Active
402,63,9,2023-10-25,,1,Active
403,63,7,2023-10-25,,1,Active
404,64,12,2024-04-25,,1,Active
405,64,6,2024-04-25,,1,Active
406,64,5,2024-04-25,,1,Active
407,64,10,2024-04-25,,1,Active
408,64,13,2024-04-25,,1,Active
409,64,14,2024-04-25,,1,Active
410,65,9,2022-11-23,,1,Active
411,65,13,2022-11-23,,1,Active
412,65,4,2022-11-23,,1,Active
413,65,12,2022-11-23,,1,Active
414,65,8,2022-11-23,,1,Active
415,67,12,2022-12-05,,1,Active
416,67,5,2022-12-05,,1,Active
417,67,1,2022-12-05,,1,Active
418,67,3,2022-12-05,,1,Active
419,67,7,2022-12-05,,1,Active
420,67,4,2022-12-05,,1,Active
421,67,14,2022-12-05,,1,Active
422,68,8,2023-02-01,,1,Active
423,68,13,2023-02-01,,1,Active
424,68,1,2023-02-01,,1,Active
425,68,4,2023-02-01,,1,Active
426,68,9,2023-02-01,,1,Active
427,68,7,2023-02-01,,1,Active
428,68,10,2023-02-01,,1,Active
429,69,5,2022-10-29,,1,Active
430,69,10,2022-10-29,,1,Active
431,69,15,2022-10-29,,1,Active
432,69,8,2022-10-29,,1,Active
433,69,9,2022-10-29,,1,Active
434,69,13,2022-10-29,,1,Active
435,69,1,2022-10-29,,1,Active
436,69,3,2022-10-29,,1,Active
437,70,8,2023-04-19,,1,Active
438,70,12,2023-04-19,,1,Active
439,70,13,2023-04-19,,1,Active
440,70,3,2023-04-19,,1,Active
441,70,10,2023-04-19,,1,Active
442,70,15,2023-04-19,,1,Active
443,71,1,2023-02-03,,1,Active
444,71,12,2023-02-03,,1,Active
445,71,5,2023-02-03,,1,Active
446,71,15,2023-02-03,,1,Active
447,71,14,2023-02-03,,1,Active
448,71,11,2023-02-03,,1,Active
449,71,7,2023-02-03,,1,Active
450,72,7,2022-10-14,,1,Active
451,72,4,2022-10-14,,1,Active
452,72,12,2022-10-14,,1,Active
453,72,8,2022-10-14,,1,Active
454,72,15,2022-10-14,,1,Active
455,72,10,2022-10-14,,1,Active
456,72,2,2022-10-14,,1,Active
457,72,9,2022-10-14,,1,Active
458,73,6,2023-03-06,,1,Active
459,73,9,2023-03-06,,1,Active
460,73,7,2023-03-06,,1,Active
461,73,13,2023-03-06,,1,Active
462,73,1,2023-03-06,,1,Active
463,74,13,2023-05-02,,1,Active
464,74,3,2023-05-02,,1,Active
465,74,10,2023-05-02,,1,Active
466,74,11,2023-05-02,,1,Active
467,74,5,2023-05-02,,1,Active
468,74,4,2023-05-02,,1,Active
469,76,8,2023-09-27,,1,Active
470,76,12,2023-09-27,,1,Active
471,76,6,2023-09-27,,1,Active
472,76,15,2023-09-27,,1,Active
473,76,13,2023-09-27,,1,Active
474,76,9,2023-09-27,,1,Active
475,76,1,2023-09-27,,1,Active
476,77,5,2023-12-29,,1,Active
477,77,3,2023-12-29,,1,Active
478,77,11,2023-12-29,,1,Active
479,77,12,2023-12-29,,1,Active
480,77,10,2023-12-29,,1,Active
481,78,6,2022-12-31,,1,Active
482,78,15,2022-12-31,,1,Active
483,78,9,2022-12-31,,1,Active
484,78,1,2022-12-31,,1,Active
485,78,8,2022-12-31,,1,Active
486,78,14,2022-12-31,,1,Active
487,78,4,2022-12-31,,1,Active
488,78,11,2022-12-31,,1,Active
489,79,11,2023-02-03,,1,Active
490,79,8,2023-02-03,,1,Active
491,79,10,2023-02-03,,1,Active
492,79,5,2023-02-03,,1,Active
493,79,7,2023-02-03,,1,Active
494,79,2,2023-02-03,,1,Active
495,79,3,2023-02-03,,1,Active
496,80,4,2023-07-28,,1,Active
497,80,6,2023-07-28,,1,Active
498,80,5,2023-07-28,,1,Active
499,80,3,2023-07-28,,1,Active
500,80,11,2023-07-28,,1,Active
501,80,14,2023-07-28,,1,Active
502,80,12,2023-07-28,,1,Active
503,80,1,2023-07-28,,1,Active
504,81,14,2022-09-02,,1,Active
505,81,5,2022-09-02,,1,Active
506,81,15,2022-09-02,,1,Active
507,81,9,2022-09-02,,1,Active
508,81,4,2022-09-02,,1,Active
509,81,2,2022-09-02,,1,Active
510,81,1,2022-09-02,,1,Active
511,81,8,2022-09-02,,1,Active
512,82,15,2023-01-03,,1,Active
513,82,3,2023-01-03,,1,Active
514,82,8,2023-01-03,,1,Active
515,82,6,2023-01-03,,1,Active
516,82,11,2023-01-03,,1,Active
517,82,2,2023-01-03,,1,Active
518,82,5,2023-01-03,,1,Active
519,83,7,2022-06-25,,1,Active
520,83,11,2022-06-25,,1,Active
521,83,10,2022-06-25,,1,Active
522,83,5,2022-06-25,,1,Active
523,83,13,2022-06-25,,1,Active
524,83,2,2022-06-25,,1,Active
525,83,9,2022-06-25,,1,Active
526,85,5,2023-10-13,,1,Active
527,85,6,2023-10-13,,1,Active
528,85,1,2023-10-13,,1,Active
529,85,2,2023-10-13,,1,Active
530,85,10,2023-10-13,,1,Active
531,86,5,2024-02-01,,1,Active
532,86,2,2024-02-01,,1,Active
533,86,6,2024-02-01,,1,Active
534,86,12,2024-02-01,,1,Active
535,86,1,2024-02-01,,1,Active
536,86,8,2024-02-01,,1,Active
537,87,2,2023-08-27,,1,Active
538,87,13,2023-08-27,,1,Active
539,87,10,2023-08-27,,1,Active
540,87,1,2023-08-27,,1,Active
541,87,11,2023-08-27,,1,Active
542,87,14,2023-08-27,,1,Active
543,88,15,2023-01-01,,1,Active
544,88,11,2023-01-01,,1,Active
545,88,6,2023-01-01,,1,Active
546,88,3,2023-01-01,,1,Active
547,88,10,2023-01-01,,1,Active
548,89,6,2023-01-17,,1,Active
549,89,9,2023-01-17,,1,Active
550,89,8,2023-01-17,,1,Active
551,89,10,2023-01-17,,1,Active
552,89,5,2023-01-17,,1,Active
553,89,11,2023-01-17,,1,Active
554,90,3,2023-04-21,,1,Active
555,90,9,2023-04-21,,1,Active
556,90,14,2023-04-21,,1,Active
557,90,8,2023-04-21,,1,Active
558,90,4,2023-04-21,,1,Active
559,90,2,2023-04-21,,1,Active
560,90,15,2023-04-21,,1,Active
561,91,14,2024-04-17,,1,Active
562,91,13,2024-04-17,,1,Active
563,91,15,2024-04-17,,1,Active
564,91,6,2024-04-17,,1,Active
565,91,5,2024-04-17,,1,Active
566,91,8,2024-04-17,,1,Active
567,91,4,2024-04-17,,1,Active
568,91,3,2024-04-17,,1,Active
569,92,11,2022-07-30,,1,Active
570,92,12,2022-07-30,,1,Active
571,92,10,2022-07-30,,1,Active
572,92,3,2022-07-30,,1,Active
573,92,2,2022-07-30,,1,Active
574,92,4,2022-07-30,,1,Active
575,93,1,2023-04-09,,1,Active
576,93,10,2023-04-09,,1,Active
577,93,15,2023-04-09,,1,Active
578,93,8,2023-04-09,,1,Active
579,93,9,2023-04-09,,1,Active
580,94,4,2022-08-16,,1,Active
581,94,3,2022-08-16,,1,Active
582,94,9,2022-08-16,,1,Active
583,94,13,2022-08-16,,1,Active
584,94,6,2022-08-16,,1,Active
585,94,8,2022-08-16,,1,Active
586,94,15,2022-08-16,,1,Active
587,94,7,2022-08-16,,1,Active
588,95,7,2024-04-16,,1,Active
589,95,14,2024-04-16,,1,Active
590,95,13,2024-04-16,,1,Active
591,95,12,2024-04-16,,1,Active
592,95,8,2024-04-16,,1,Active
593,95,11,2024-04-16,,1,Active
594,95,15,2024-04-16,,1,Active
595,96,14,2023-01-25,,1,Active
596,96,1,2023-01-25,,1,Active
597,96,3,2023-01-25,,1,Active
598,96,6,2023-01-25,,1,Active
599,96,2,2023-01-25,,1,Active
600,96,5,2023-01-25,,1,Active
601,97,4,2023-09-27,,1,Active
602,97,10,2023-09-27,,1,Active
603,97,1,2023-09-27,,1,Active
604,97,11,2023-09-27,,1,Active
605,97,13,2023-09-27,,1,Active
606,97,9,2023-09-27,,1,Active
607,97,2,2023-09-27,,1,Active
608,97,5,2023-09-27,,1,Active
609,98,7,2023-02-14,,1,Active
610,98,4,2023-02-14,,1,Active
611,98,15,2023-02-14,,1,Active
612,98,13,2023-02-14,,1,Active
613,98,12,2023-02-14,,1,Active
614,98,2,2023-02-14,,1,Active
615,98,1,2023-02-14,,1,Active
616,99,2,2022-08-10,,1,Active
617,99,3,2022-08-10,,1,Active
618,99,5,2022-08-10,,1,Active
619,99,7,2022-08-10,,1,Active
620,99,8,2022-08-10,,1,Active
621,100,15,2022-09-27,,1,Active
622,100,7,2022-09-27,,1,Active
623,100,2,2022-09-27,,1,Active
624,100,4,2022-09-27,,1,Active
625,100,3,2022-09-27,,1,Active
626,101,14,2024-01-10,,1,Active
627,101,4,2024-01-10,,1,Active
628,101,13,2024-01-10,,1,Active
629,101,7,2024-01-10,,1,Active
630,101,11,2024-01-10,,1,Active
631,102,5,2024-05-23,,1,Active
632,102,7,2024-05-23,,1,Active
633,102,1,2024-05-23,,1,Active
634,102,14,2024-05-23,,1,Active
635,102,12,2024-05-23,,1,Active
636,102,15,2024-05-23,,1,Active
637,103,12,2023-05-16,,1,Active
638,103,14,2023-05-16,,1,Active
639,103,7,2023-05-16,,1,Active
640,103,1,2023-05-16,,1,Active
641,103,13,2023-05-16,,1,Active
642,104,15,2023-07-01,,1,Active
643,104,4,2023-07-01,,1,Active
644,104,3,2023-07-01,,1,Active
645,104,11,2023-07-01,,1,Active
646,104,9,2023-07-01,,1,Active
647,105,7,2023-02-11,,1,Active
648,105,1,2023-02-11,,1,Active
649,105,14,2023-02-11,,1,Active
650,105,6,2023-02-11,,1,Active
651,105,13,2023-02-11,,1,Active
652,105,5,2023-02-11,,1,Active
653,105,3,2023-02-11,,1,Active
654,105,10,2023-02-11,,1,Active
655,106,14,2023-11-13,,1,Active
656,106,4,2023-11-13,,1,Active
657,106,13,2023-11-13,,1,Active
658,106,15,2023-11-13,,1,Active
659,106,10,2023-11-13,,1,Active
660,106,11,2023-11-13,,1,Active
661,107,14,2024-04-06,,1,Active
662,107,11,2024-04-06,,1,Active
663,107,6,2024-04-06,,1,Active
664,107,4,2024-04-06,,1,Active
665,107,5,2024-04-06,,1,Active
666,107,1,2024-04-06,,1,Active
667,108,13,2024-04-19,,1,Active
668,108,5,2024-04-19,,1,Active
669,108,1,2024-04-19,,1,Active
670,108,9,2024-04-19,,1,Active
671,108,8,2024-04-19,,1,Active
672,109,5,2023-08-02,,1,Active
673,109,14,2023-08-02,,1,Active
674,109,4,2023-08-02,,1,Active
675,109,10,2023-08-02,,1,Active
676,109,6,2023-08-02,,1,Active
677,109,15,2023-08-02,,1,Active
678,109,12,2023-08-02,,1,Active
679,110,4,2022-09-10,,1,Active
680,110,14,2022-09-10,,1,Active
681,110,3,2022-09-10,,1,Active
682,110,12,2022-09-10,,1,Active
683,110,13,2022-09-10,,1,Active
684,110,6,2022-09-10,,1,Active
685,110,10,2022-09-10,,1,Active
686,111,14,2023-03-14,,1,Active
687,111,15,2023-03-14,,1,Active
688,111,9,2023-03-14,,1,Active
689,111,5,2023-03-14,,1,Active
690,111,1,2023-03-14,,1,Active
691,111,8,2023-03-14,,1,Active
692,111,2,2023-03-14,,1,Active
693,111,12,2023-03-14,,1,Active
694,112,3,2023-12-29,,1,Active
695,112,1,2023-12-29,,1,Active
696,112,10,2023-12-29,,1,Active
697,112,12,2023-12-29,,1,Active
698,112,8,2023-12-29,,1,Active
699,113,15,2023-01-08,,1,Active
700,113,5,2023-01-08,,1,Active
701,113,9,2023-01-08,,1,Active
702,113,11,2023-01-08,,1,Active
703,113,14,2023-01-08,,1,Active
704,113,7,2023-01-08,,1,Active
705,113,2,2023-01-08,,1,Active
706,113,6,2023-01-08,,1,Active
707,115,3,2024-01-07,,1,Active
708,115,14,2024-01-07,,1,Active
709,115,15,2024-01-07,,1,Active
710,115,7,2024-01-07,,1,Active
711,115,13,2024-01-07,,1,Active
712,116,9,2023-05-19,,1,Active
713,116,14,2023-05-19,,1,Active
714,116,15,2023-05-19,,1,Active
715,116,2,2023-05-19,,1,Active
716,116,1,2023-05-19,,1,Active
717,117,15,2022-11-27,,1,Active
718,117,10,2022-11-27,,1,Active
719,117,14,2022-11-27,,1,Active
720,117,9,2022-11-27,,1,Active
721,117,1,2022-11-27,,1,Active
722,117,11,2022-11-27,,1,Active
723,118,11,2023-12-31,,1,Active
724,118,9,2023-12-31,,1,Active
725,118,1,2023-12-31,,1,Active
726,118,13,2023-12-31,,1,Active
727,118,6,2023-12-31,,1,Active
728,118,8,2023-12-31,,1,Active
729,118,3,2023-12-31,,1,Active
730,119,6,2023-07-21,,1,Active
731,119,14,2023-07-21,,1,Active
